"site_id","mean_surf_jas_slope","distance","nearest_lake","distance_km"
"nhd_1099242",0.198032170088652,203805.460070618,"Lake Superior",203.805460070618
"nhd_1099260",0.167023021354439,196454.244386333,"Lake Superior",196.454244386333
"nhd_1099274",0.200020774017221,190664.65554011,"Lake Superior",190.66465554011
"nhd_1099278",0.184129408371118,190564.773456892,"Lake Superior",190.564773456892
"nhd_1099282",0.17110439983017,187321.308460606,"Lake Superior",187.321308460606
"nhd_1099288",0.173598790498357,186394.910827971,"Lake Superior",186.394910827971
"nhd_1099316",0.230619644282555,184789.121936723,"Lake Superior",184.789121936723
"nhd_1099320",0.275066114588333,185125.459407636,"Lake Superior",185.125459407636
"nhd_1099322",0.199335672615127,190340.004801717,"Lake Superior",190.340004801717
"nhd_1099324",0.184657748049597,197525.460624064,"Lake Superior",197.525460624064
"nhd_1099338",0.205674641895891,189838.244942803,"Lake Superior",189.838244942803
"nhd_1099348",0.273748428021833,196896.210484542,"Lake Superior",196.896210484542
"nhd_1099350",0.22771224929789,199601.572218595,"Lake Superior",199.601572218595
"nhd_1099352",0.164043823513423,188641.460737946,"Lake Superior",188.641460737946
"nhd_1099370",0.18276140045593,199118.12374423,"Lake Superior",199.11812374423
"nhd_1099374",0.20641432441189,186562.857876581,"Lake Superior",186.562857876581
"nhd_1099380",0.223420602489244,189096.746607932,"Lake Superior",189.096746607932
"nhd_1099382",0.213070604553729,188820.835611098,"Lake Superior",188.820835611098
"nhd_1099384",0.18907638937329,195946.393358544,"Lake Superior",195.946393358544
"nhd_1099390",0.210195674760109,189650.677182412,"Lake Superior",189.650677182412
"nhd_1099392",0.183529394339561,200552.330782678,"Lake Superior",200.552330782678
"nhd_1099420",0.178623245563342,191710.825662598,"Lake Superior",191.710825662598
"nhd_1099424",0.172509485650351,197003.902024117,"Lake Superior",197.003902024117
"nhd_1099430",0.190629226719758,193195.764571145,"Lake Superior",193.195764571145
"nhd_1099432",0.156640120894228,189974.359592541,"Lake Superior",189.974359592541
"nhd_1099444",0.172088976157745,200559.066195863,"Lake Superior",200.559066195863
"nhd_1099448",0.226936187840486,188475.315589235,"Lake Superior",188.475315589235
"nhd_1099450",0.17447152297557,191172.386741098,"Lake Superior",191.172386741098
"nhd_1099454",0.306694040578882,190963.301924036,"Lake Superior",190.963301924036
"nhd_1099456",0.169839089941313,189742.495710251,"Lake Superior",189.742495710251
"nhd_1099458",0.173408269115397,196735.395740791,"Lake Superior",196.735395740791
"nhd_1099476",0.168842039226933,191982.630554173,"Lake Superior",191.982630554173
"nhd_1099478",0.183485504764371,197607.785555371,"Lake Superior",197.607785555371
"nhd_1099486",0.187513329442602,192535.3686561,"Lake Superior",192.5353686561
"nhd_1099500",0.250773357274473,200906.736169197,"Lake Superior",200.906736169197
"nhd_1099510",0.177532333869213,198248.808224736,"Lake Superior",198.248808224736
"nhd_1099522",0.218938986811773,190562.022823867,"Lake Superior",190.562022823867
"nhd_1099524",0.249193141733211,189818.099904294,"Lake Superior",189.818099904294
"nhd_1099526",0.180141120863938,191371.84349701,"Lake Superior",191.37184349701
"nhd_1099528",0.157428179319408,208479.828234978,"Lake Superior",208.479828234978
"nhd_1099530",0.278240437056565,191723.079436269,"Lake Superior",191.723079436269
"nhd_1099542",0.249053983248551,191900.606107498,"Lake Superior",191.900606107498
"nhd_1099552",0.232929767233897,193479.506710178,"Lake Superior",193.479506710178
"nhd_1099554",0.212473379556622,206637.533179113,"Lake Superior",206.637533179113
"nhd_1099560",0.195090535806844,210847.706878424,"Lake Superior",210.847706878424
"nhd_1099588",0.210320855501767,192389.088279742,"Lake Superior",192.389088279742
"nhd_1099600",0.180582154929602,209184.548201442,"Lake Superior",209.184548201442
"nhd_1100962",0.161351006617354,196287.928184504,"Lake Superior",196.287928184504
"nhd_1100974",0.183163842660509,196896.842499541,"Lake Superior",196.896842499541
"nhd_1101008",0.166412747103954,201216.684079556,"Lake Superior",201.216684079556
"nhd_1101070",0.158072570008338,215818.487663224,"Lake Superior",215.818487663224
"nhd_1101490",0.175839731982027,202038.726295972,"Lake Superior",202.038726295972
"nhd_1101492",0.154498380160514,206606.326463046,"Lake Superior",206.606326463046
"nhd_1101496",0.164349685712683,210449.254972627,"Lake Superior",210.449254972627
"nhd_1101500",0.218920255821706,193113.910465189,"Lake Superior",193.113910465189
"nhd_1101504",0.154491466707922,194309.087911324,"Lake Superior",194.309087911324
"nhd_1101506",0.206349752117569,193874.249257318,"Lake Superior",193.874249257318
"nhd_1101508",0.160545913644716,202092.528565356,"Lake Superior",202.092528565356
"nhd_1101512",0.16054072161104,209034.976611463,"Lake Superior",209.034976611463
"nhd_1101514",0.160556291699382,210218.180764937,"Lake Superior",210.218180764937
"nhd_1101526",0.171927976014146,208562.912349263,"Lake Superior",208.562912349263
"nhd_1101544",0.162772575044295,202712.106976779,"Lake Superior",202.712106976779
"nhd_1101548",0.181371998322324,197464.648312968,"Lake Superior",197.464648312968
"nhd_1101570",0.170736675597482,214332.069360232,"Lake Superior",214.332069360232
"nhd_1101572",0.191543531668627,194680.086043065,"Lake Superior",194.680086043065
"nhd_1101584",0.199861589289617,206076.217148616,"Lake Superior",206.076217148616
"nhd_1101588",0.200205080948455,207499.67833403,"Lake Superior",207.49967833403
"nhd_1101590",0.137590404677801,214957.594304158,"Lake Superior",214.957594304158
"nhd_1101616",0.163878076574136,204865.294844518,"Lake Superior",204.865294844518
"nhd_1101626",0.18249100531438,213077.139500567,"Lake Superior",213.077139500567
"nhd_1101634",0.16391213236195,216216.616514438,"Lake Superior",216.216616514438
"nhd_1101636",0.172433828687496,204864.652013139,"Lake Superior",204.864652013139
"nhd_1101662",0.139357926225133,219890.295375742,"Lake Superior",219.890295375742
"nhd_1101666",0.234671360799482,207981.675795392,"Lake Superior",207.981675795392
"nhd_1101684",0.153775694410179,206397.294467155,"Lake Superior",206.397294467155
"nhd_1101688",0.204667992571556,211856.392215392,"Lake Superior",211.856392215392
"nhd_1101690",0.17391046808538,219342.315977887,"Lake Superior",219.342315977887
"nhd_1101704",0.140224880467655,220411.473004085,"Lake Superior",220.411473004085
"nhd_1101712",0.174352057173784,204729.319982073,"Lake Superior",204.729319982073
"nhd_1101722",0.173535371701832,220159.322796331,"Lake Superior",220.159322796331
"nhd_1101754",0.15395509862951,208234.082660877,"Lake Superior",208.234082660877
"nhd_1101756",0.194933899427252,201461.561224667,"Lake Superior",201.461561224667
"nhd_1101778",0.167381898216974,206266.852112657,"Lake Superior",206.266852112657
"nhd_1101790",0.188382527619309,203529.651179321,"Lake Superior",203.529651179321
"nhd_1101812",0.161585285886082,207712.392876797,"Lake Superior",207.712392876797
"nhd_1101844",0.178374587155994,202468.890539338,"Lake Superior",202.468890539338
"nhd_1101846",0.172049478111177,205559.118444924,"Lake Superior",205.559118444924
"nhd_1101864",0.133284527415372,218711.345131555,"Lake Superior",218.711345131555
"nhd_1101868",0.199934871861272,209360.878828926,"Lake Superior",209.360878828926
"nhd_1101882",0.191427810004085,219522.570046765,"Lake Superior",219.522570046765
"nhd_1101890",0.207351521168423,226548.194464982,"Lake Superior",226.548194464982
"nhd_1101920",0.170997965908147,209545.3874283,"Lake Superior",209.5453874283
"nhd_1101926",0.1505842732954,224589.993813572,"Lake Superior",224.589993813572
"nhd_1101928",0.16161418949069,223111.060955824,"Lake Superior",223.111060955824
"nhd_1101938",0.156216880319932,224513.682863317,"Lake Superior",224.513682863317
"nhd_1101942",0.136791439549282,222881.17528198,"Lake Superior",222.88117528198
"nhd_1101980",0.197554320673025,213241.627420191,"Lake Superior",213.241627420191
"nhd_1102008",0.166499887067564,224586.815783518,"Lake Superior",224.586815783518
"nhd_1102032",0.185096083322404,208066.516738092,"Lake Superior",208.066516738092
"nhd_1102046",0.149573351663219,223837.798295925,"Lake Superior",223.837798295925
"nhd_1102048",0.185485102047214,227690.640112069,"Lake Superior",227.690640112069
"nhd_1102056",0.1473686703389,224417.677405309,"Lake Superior",224.417677405309
